model,Parameter Set,Fold,testAccuracy,testPrecision,testRecall,testF1,testRocauc,testCohenkappascore
LGBMClassifier,"{'boosting_type': 'gbdt', 'num_leaves': 50, 'learning_rate': 0.01, 'n_estimators': 150, 'max_depth': 5, 'min_child_samples': 5, 'subsample': 0.5, 'colsample_bytree': 0.5, 'reg_alpha': 0.5}",noCrossVal,0.7532097004279601,0.5238970588235294,0.7661290322580645,0.6222707423580786,0.7573363607892263,0.4484431992868642
LGBMClassifier,"{'boosting_type': 'gbdt', 'num_leaves': 50, 'learning_rate': 0.01, 'n_estimators': 150, 'max_depth': 5, 'min_child_samples': 5, 'subsample': 0.5, 'colsample_bytree': 0.8, 'reg_alpha': 0.1}",noCrossVal,0.7475035663338089,0.5164233576642335,0.760752688172043,0.6152173913043478,0.7517355673869923,0.4373741679212086
LGBMClassifier,"{'boosting_type': 'gbdt', 'num_leaves': 50, 'learning_rate': 0.01, 'n_estimators': 150, 'max_depth': 5, 'min_child_samples': 5, 'subsample': 0.5, 'colsample_bytree': 0.8, 'reg_alpha': 0.5}",noCrossVal,0.7475035663338089,0.5165441176470589,0.7553763440860215,0.6135371179039302,0.7500182691303894,0.4356904408888726
LGBMClassifier,"{'boosting_type': 'gbdt', 'num_leaves': 50, 'learning_rate': 0.01, 'n_estimators': 150, 'max_depth': 5, 'min_child_samples': 5, 'subsample': 0.8, 'colsample_bytree': 0.5, 'reg_alpha': 0.1}",noCrossVal,0.7532097004279601,0.5238970588235294,0.7661290322580645,0.6222707423580786,0.7573363607892263,0.4484431992868642
LGBMClassifier,"{'boosting_type': 'gbdt', 'num_leaves': 50, 'learning_rate': 0.01, 'n_estimators': 150, 'max_depth': 5, 'min_child_samples': 5, 'subsample': 0.8, 'colsample_bytree': 0.5, 'reg_alpha': 0.5}",noCrossVal,0.7532097004279601,0.5238970588235294,0.7661290322580645,0.6222707423580786,0.7573363607892263,0.4484431992868642
LGBMClassifier,"{'boosting_type': 'gbdt', 'num_leaves': 50, 'learning_rate': 0.01, 'n_estimators': 150, 'max_depth': 5, 'min_child_samples': 5, 'subsample': 0.8, 'colsample_bytree': 0.8, 'reg_alpha': 0.1}",noCrossVal,0.7475035663338089,0.5164233576642335,0.760752688172043,0.6152173913043478,0.7517355673869923,0.4373741679212086
LGBMClassifier,"{'boosting_type': 'gbdt', 'num_leaves': 50, 'learning_rate': 0.01, 'n_estimators': 150, 'max_depth': 5, 'min_child_samples': 5, 'subsample': 0.8, 'colsample_bytree': 0.8, 'reg_alpha': 0.5}",noCrossVal,0.7475035663338089,0.5165441176470589,0.7553763440860215,0.6135371179039302,0.7500182691303894,0.4356904408888726
LGBMClassifier,"{'boosting_type': 'gbdt', 'num_leaves': 50, 'learning_rate': 0.01, 'n_estimators': 150, 'max_depth': 5, 'min_child_samples': 10, 'subsample': 0.5, 'colsample_bytree': 0.5, 'reg_alpha': 0.1}",noCrossVal,0.7517831669044223,0.521978021978022,0.7661290322580645,0.6209150326797386,0.7563654870028187,0.4460838408196074
LGBMClassifier,"{'boosting_type': 'gbdt', 'num_leaves': 50, 'learning_rate': 0.01, 'n_estimators': 150, 'max_depth': 5, 'min_child_samples': 10, 'subsample': 0.5, 'colsample_bytree': 0.5, 'reg_alpha': 0.5}",noCrossVal,0.7510699001426534,0.5209471766848816,0.7688172043010753,0.6210640608034744,0.7567386992379163,0.4457343002720931
LGBMClassifier,"{'boosting_type': 'gbdt', 'num_leaves': 50, 'learning_rate': 0.01, 'n_estimators': 150, 'max_depth': 5, 'min_child_samples': 10, 'subsample': 0.5, 'colsample_bytree': 0.8, 'reg_alpha': 0.1}",noCrossVal,0.7482168330955777,0.5173674588665448,0.760752688172043,0.6158868335146899,0.7522210042801962,0.438544703733536
